protein_id	contig	start_1based	end_1based	post_split_start	post_split_end	strand	gene_length_bp	mapq_threshold	required_flank_each_side_bp	overlapping_primary_reads	full_gene_spanning_reads	gene_internal_in_read_with_flanks	internal_fraction_of_full_spanning
Pcub-SC1982_002_000563.1	Pcub-SC1982_002	4549774	4551132	17847	19205	-	1359	20	1000	135	79	32	0.405063
Pcub-SC1982_002_000562.1	Pcub-SC1982_002	4551393	4552638	19466	20711	-	1246	20	1000	123	80	56	0.700000
Pcub-SC1982_002_000561.1	Pcub-SC1982_002	4552866	4554202	20939	22275	-	1337	20	1000	99	59	18	0.305085
Pcub-SC1982_002_000492.1	Pcub-SC1982_002	4568335	4569495	36408	37568	+	1161	20	1000	106	68	27	0.397059
Pcub-SC1982_002_000493.1	Pcub-SC1982_002	4569865	4571066	37938	39139	+	1202	20	1000	110	79	28	0.354430
Pcub-SC1982_002_000494.1	Pcub-SC1982_002	4600291	4601638	68364	69711	+	1348	20	1000	62	41	12	0.292683
Pcub-SC1982_002_000560.1	Pcub-SC1982_002	4642055	4643202	110128	111275	-	1148	20	1000	96	58	22	0.379310
Pcub-SC1982_002_000559.1	Pcub-SC1982_002	4643572	4644741	111645	112814	-	1170	20	1000	95	51	26	0.509804
Pcub-SC1982_002_000558.1	Pcub-SC1982_002	4645102	4646271	113175	114344	-	1170	20	1000	87	70	24	0.342857
Pcub-SC1982_002_000557.1	Pcub-SC1982_002	4646641	4647827	114714	115900	-	1187	20	1000	73	45	25	0.555556
Pcub-SC1982_002_000556.1	Pcub-SC1982_002	4648179	4649343	116252	117416	-	1165	20	1000	50	25	16	0.640000
Pcub-SC1982_002_000555.1	Pcub-SC1982_002	4649669	4650879	117742	118952	-	1211	20	1000	46	24	16	0.666667
Pcub-SC1982_002_000554.1	Pcub-SC1982_002	4651243	4652429	119316	120502	-	1187	20	1000	65	41	15	0.365854
Pcub-SC1982_002_000553.1	Pcub-SC1982_002	4652810	4654613	120883	122686	-	1804	20	1000	93	56	27	0.482143
