feature_type	feature_id	contig	start_1based	end_1based	post_split_start	post_split_end	strand	length_bp	mean_depth_mapq20	median_depth_mapq20	min_depth_mapq20	max_depth_mapq20	covered_fraction_mapq20
contig	Pcub-SC1982_002	Pcub-SC1982_002	1	4835754	NA	NA	.	4835754	154.359764	89.000000	0	15152	0.998267
gene	Pcub-SC1982_002_000563.1	Pcub-SC1982_002	4549774	4551132	17847	19205	-	1359	107.532745	108.000000	94	112	1.000000
gene	Pcub-SC1982_002_000562.1	Pcub-SC1982_002	4551393	4552638	19466	20711	-	1246	104.139647	106.000000	80	112	1.000000
gene	Pcub-SC1982_002_000561.1	Pcub-SC1982_002	4552866	4554202	20939	22275	-	1337	83.964099	86.000000	68	90	1.000000
gene	Pcub-SC1982_002_000492.1	Pcub-SC1982_002	4568335	4569495	36408	37568	+	1161	94.693368	95.000000	80	98	1.000000
gene	Pcub-SC1982_002_000493.1	Pcub-SC1982_002	4569865	4571066	37938	39139	+	1202	96.126456	97.000000	88	103	1.000000
gene	Pcub-SC1982_002_000494.1	Pcub-SC1982_002	4600291	4601638	68364	69711	+	1348	52.422849	53.000000	48	55	1.000000
gene	Pcub-SC1982_002_000560.1	Pcub-SC1982_002	4642055	4643202	110128	111275	-	1148	76.272648	75.000000	70	84	1.000000
gene	Pcub-SC1982_002_000559.1	Pcub-SC1982_002	4643572	4644741	111645	112814	-	1170	72.565812	75.000000	63	82	1.000000
gene	Pcub-SC1982_002_000558.1	Pcub-SC1982_002	4645102	4646271	113175	114344	-	1170	78.829060	79.000000	74	82	1.000000
gene	Pcub-SC1982_002_000557.1	Pcub-SC1982_002	4646641	4647827	114714	115900	-	1187	60.584667	59.000000	47	72	1.000000
gene	Pcub-SC1982_002_000556.1	Pcub-SC1982_002	4648179	4649343	116252	117416	-	1165	38.187983	38.000000	28	43	1.000000
gene	Pcub-SC1982_002_000555.1	Pcub-SC1982_002	4649669	4650879	117742	118952	-	1211	32.583815	32.000000	29	40	1.000000
gene	Pcub-SC1982_002_000554.1	Pcub-SC1982_002	4651243	4652429	119316	120502	-	1187	52.632687	54.000000	45	60	1.000000
gene	Pcub-SC1982_002_000553.1	Pcub-SC1982_002	4652810	4654613	120883	122686	-	1804	76.645233	77.000000	70	82	1.000000
