feature_type	feature_id	contig	start_1based	end_1based	strand	length_bp	mean_depth_mapq20	median_depth_mapq20	covered_fraction_mapq20	full_gene_spanning_reads_mapq20	gene_internal_in_read_with_1kb_flanks_mapq20
contig	Pcub-SC1982_002	Pcub-SC1982_002	1	4835754	.	4835754	154.36	89	0.998267	NA	NA
gene	Pcub-SC1982_002_000492.1	Pcub-SC1982_002	4568335	4569495	+	1161	94.693	95	1	68	27
gene	Pcub-SC1982_002_000493.1	Pcub-SC1982_002	4569865	4571066	+	1202	96.126	97	1	79	28
gene	Pcub-SC1982_002_000494.1	Pcub-SC1982_002	4600291	4601638	+	1348	52.423	53	1	41	12
gene	Pcub-SC1982_002_000553.1	Pcub-SC1982_002	4652810	4654613	-	1804	76.645	77	1	56	27
gene	Pcub-SC1982_002_000554.1	Pcub-SC1982_002	4651243	4652429	-	1187	52.633	54	1	41	15
gene	Pcub-SC1982_002_000555.1	Pcub-SC1982_002	4649669	4650879	-	1211	32.584	32	1	24	16
gene	Pcub-SC1982_002_000556.1	Pcub-SC1982_002	4648179	4649343	-	1165	38.188	38	1	25	16
gene	Pcub-SC1982_002_000557.1	Pcub-SC1982_002	4646641	4647827	-	1187	60.585	59	1	45	25
gene	Pcub-SC1982_002_000558.1	Pcub-SC1982_002	4645102	4646271	-	1170	78.829	79	1	70	24
gene	Pcub-SC1982_002_000559.1	Pcub-SC1982_002	4643572	4644741	-	1170	72.566	75	1	51	26
gene	Pcub-SC1982_002_000560.1	Pcub-SC1982_002	4642055	4643202	-	1148	76.273	75	1	58	22
gene	Pcub-SC1982_002_000561.1	Pcub-SC1982_002	4552866	4554202	-	1337	83.964	86	1	59	18
gene	Pcub-SC1982_002_000562.1	Pcub-SC1982_002	4551393	4552638	-	1246	104.14	106	1	80	56
gene	Pcub-SC1982_002_000563.1	Pcub-SC1982_002	4549774	4551132	-	1359	107.533	108	1	79	32
