Phum-OR502AA_001	4893420
Phum-OR502AA_002	4013734
Phum-OR502AA_003	3590800
Phum-OR502AA_004	3575525
Phum-OR502AA_005	3514087
Phum-OR502AA_006	3322257
Phum-OR502AA_007	3159030
Phum-OR502AA_008	3155118
Phum-OR502AA_009	2900193
Phum-OR502AA_010	2803679
Phum-OR502AA_011	2767364
Phum-OR502AA_012	2746354
Phum-OR502AA_013	2595817
Phum-OR502AA_014	2500403
Phum-OR502AA_015	2318444
Phum-OR502AA_016	1969086
Phum-OR502AA_017	1905261
Phum-OR502AA_018	1903181
Phum-OR502AA_019	1489530
Phum-OR502AA_020	1465051
Phum-OR502AA_021	1364523
Phum-OR502AA_022	1350252
Phum-OR502AA_023	1314780
Phum-OR502AA_024	1289348
Phum-OR502AA_025	1191877
Phum-OR502AA_026	1067871
