seq00000082	gi|2317644420|gb|CP106980.1|	95.386	7001	1772743	1779731	60416	53445	0.0	1642459
seq00000084	gi|2317644414|gb|CP106974.1|	82.153	4152	17862	21976	5653153	5657248	0.0	1642459
seq00000087	gi|675180822|ref|XM_008901048.1|	84.762	1680	122922	124598	68	1744	0.0	761204
seq00000088	gi|2233316013|emb|OW569391.1|	79.394	660	14647	15301	34655	34001	8.28e-122	166959
seq00000089	gi|2317644411|gb|CP106971.1|	84.256	3919	843474	847374	3103283	3107183	0.0	1642459
seq00000091	gi|1207923023|ref|XM_021494838.1|	75.111	225	44167	44390	788	565	2.09e-15	6573
seq00000100	gi|1685556801|ref|XM_001948836.5|	75.624	681	35	703	2594	1926	1.09e-79	7029
seq00000101	gi|2317644414|gb|CP106974.1|	94.643	112	420	530	4127680	4127790	2.75e-36	1642459
seq00000102	gi|675194892|ref|XM_008908083.1|	97.222	36	21221	21256	658	693	0.008	761204
seq00000105	gi|2233315891|emb|OW569364.1|	90.203	296	34175	34470	117445	117740	1.42e-100	166959
seq00000107	gi|187713229|gb|CP001052.1|	96.970	33	6486	6518	1306089	1306121	0.19	398527
seq00000108	gi|1678645098|ref|NC_042478.1|	99.586	17378	1	17366	9205	26582	0.0	162120
seq00000109	gi|2317644411|gb|CP106971.1|	83.669	3919	4387	8286	3075585	3079485	0.0	1642459
seq00000112	gi|1952466678|ref|XM_038785859.1|	85.207	169	27682	27850	129	297	1.08e-36	7830
seq00000114	gi|2179320887|gb|CP090802.1|	77.615	1090	18	1101	681373	680296	2.66e-179	542832
seq00000115	gi|399764212|gb|JQ271723.1|	99.900	1994	38627	40620	1994	1	0.0	74082
seq00000117	gi|291000719|ref|XM_002682881.1|	75.614	529	12086	12607	1306	1827	1.99e-59	5762
seq00000118	gi|927372602|ref|NC_027859.1|	100.000	110	17951	18060	28467	28358	9.27e-46	143453
seq00000119	gi|2233315905|emb|OW569367.1|	86.526	898	4910	5806	306383	305487	0.0	166959
seq00000120	gi|2323760910|ref|XM_051547324.1|	85.000	60	3647	3706	93	34	0.010	101107
seq00000121	gi|1678645098|ref|NC_042478.1|	99.903	1032	36490	37521	13344	14375	0.0	162120
seq00000122	gi|2233315940|emb|OW569376.1|	75.162	773	20682	21428	349239	348472	2.97e-85	166959
seq00000123	gi|1486922382|ref|XM_026638416.1|	88.462	78	32856	32931	454	379	1.11e-11	334116
seq00000125	gi|189178778|emb|CU694974.2|	96.050	481	1	481	19995	20474	0.0	123356
