ptg000031l_1	gi|2317644411|gb|CP106971.1|	83.678	3921	473605	477493	3103282	3107183	0.0	1642459
ptg000108l_1	gi|1678645098|ref|NC_042478.1|	99.980	39093	19001	58091	1	39087	0.0	162120
ptg000161l_1	gi|2317644415|gb|CP106975.1|	74.899	3219	33768	36955	2805860	2802687	0.0	1642459
ptg000371l_1	gi|1678645098|ref|NC_042478.1|	99.992	25805	15677	41481	39087	13285	0.0	162120
ptg000403l_1	gi|1678645098|ref|NC_042478.1|	99.993	28481	1	28480	10607	39087	0.0	162120
ptg000487l_1	gi|1678645098|ref|NC_042478.1|	99.938	21050	1	21039	18040	39087	0.0	162120
ptg000717l_1	gi|1378153321|ref|XM_024725584.1|	88.081	1678	71384	73060	1749	73	0.0	4781
ptg001099l_1	gi|1786026556|gb|MK976654.1|	100.000	480	7793	8272	480	1	0.0	94289
ptg001310l_1	gi|1678645098|ref|NC_042478.1|	99.986	14068	12135	26202	1	14066	0.0	162120
ptg001599l_1	gi|1678645098|ref|NC_042478.1|	99.903	11345	4	11347	27753	39087	0.0	162120
ptg001600l_1	gi|1678645098|ref|NC_042478.1|	99.990	19356	18080	37434	1	19355	0.0	162120
ptg001793l_1	gi|1678645098|ref|NC_042478.1|	100.000	17067	12187	29253	1	17067	0.0	162120
ptg001931l_1	gi|1678645098|ref|NC_042478.1|	99.874	14246	1	14235	24849	39087	0.0	162120
ptg001948l_1	gi|1678645098|ref|NC_042478.1|	99.979	19393	1	19391	19697	39087	0.0	162120
ptg002152l_1	gi|1678645098|ref|NC_042478.1|	99.996	26885	1	26885	12204	39087	0.0	162120
ptg002312l_1	gi|2250226907|gb|MW582835.1|	95.370	108	124	229	1	108	1.51e-35	143453
ptg002422l_1	gi|1678645098|ref|NC_042478.1|	99.957	25719	3543	29254	39087	13373	0.0	162120
ptg002561l_1	gi|1678645098|ref|NC_042478.1|	99.939	16341	6924	23256	39087	22749	0.0	162120
ptg002579l_1	gi|1678645098|ref|NC_042478.1|	99.977	21987	1	21986	17105	39087	0.0	162120
ptg002621l_1	gi|1678645098|ref|NC_042478.1|	99.994	17639	1	17639	21450	39087	0.0	162120
ptg002630l_1	gi|1678645098|ref|NC_042478.1|	99.965	19794	1	19792	19299	39087	0.0	162120
ptg003108l_1	gi|1678645098|ref|NC_042478.1|	99.991	11532	11415	22946	1	11531	0.0	162120
ptg003649l_1	gi|1678645098|ref|NC_042478.1|	99.949	21424	1	21415	17666	39087	0.0	162120
ptg003685l_1	gi|16326553|gb|AF409121.1|	92.970	3229	5897	9109	3929	715	0.0	64707
ptg003693l_1	gi|1678645098|ref|NC_042478.1|	99.985	13742	2753	16493	39087	25346	0.0	162120
ptg003802l_1	gi|1678645098|ref|NC_042478.1|	99.971	13570	6284	19850	39087	25519	0.0	162120
ptg004034l_1	gi|1678645098|ref|NC_042478.1|	99.992	24349	14801	39149	39087	14741	0.0	162120
ptg004385l_1	gi|1678645098|ref|NC_042478.1|	99.987	15498	13427	28924	1	15496	0.0	162120
ptg004490l_1	gi|1678645098|ref|NC_042478.1|	99.954	15238	9771	25002	39087	23851	0.0	162120
ptg004587l_1	gi|1678645098|ref|NC_042478.1|	99.978	17861	6662	24522	39087	21231	0.0	162120
