Pcub-MSU1_001	6482673
Pcub-MSU1_002	6345153
Pcub-MSU1_003	6207293
Pcub-MSU1_004	6051858
Pcub-MSU1_005	5027247
Pcub-MSU1_006	4443049
Pcub-MSU1_007	4422777
Pcub-MSU1_008	4099828
Pcub-MSU1_009	4023981
Pcub-MSU1_010	3830569
Pcub-MSU1_011	3743114
Pcub-MSU1_012	3298584
Pcub-MSU1_013	3266376
Pcub-MSU1_014	3070536
Pcub-MSU1_015	2620201
Pcub-MSU1_016	2585918
Pcub-MSU1_017	2499432
Pcub-MSU1_018	2327086
Pcub-MSU1_019	1977918
Pcub-MSU1_020	1925590
Pcub-MSU1_021	1635711
Pcub-MSU1_022	1552423
Pcub-MSU1_023	1418058
Pcub-MSU1_024	1116827
Pcub-MSU1_025	1008183
