qseqid	sseqid	pident	length	qlen	slen	evalue	qstart	qend	sstart	send	staxids	sphylums	sgenus	sspecies
Pcub-MSU1_004_001132.1	POM58885.1	70.2	487	491	518	3.94e-135	1	481	1	479	4796	Oomycota	Phytophthora	Phytophthora palmivora
Pcub-MSU1_004_000028.1	KAH7347653.1	81.1	228	533	318	1.79e-122	305	532	90	317	40658	Ascomycota	Plectosphaerella	Plectosphaerella cucumerina
Pcub-MSU1_004_000029.1	KAH7347653.1	72.0	321	299	318	2.12e-155	1	298	1	317	40658	Ascomycota	Plectosphaerella	Plectosphaerella cucumerina
Pcub-MSU1_004_000030.1	KAH7347653.1	72.3	321	299	318	7.41e-156	1	298	1	317	40658	Ascomycota	Plectosphaerella	Plectosphaerella cucumerina
Pcub-MSU1_004_000031.1	KAH7347653.1	72.3	321	299	318	1.22e-154	1	298	1	317	40658	Ascomycota	Plectosphaerella	Plectosphaerella cucumerina
Pcub-MSU1_004_001131.1	KAH7347653.1	73.5	317	299	318	1.29e-156	1	298	1	317	40658	Ascomycota	Plectosphaerella	Plectosphaerella cucumerina
Pcub-MSU1_004_001128.1	KAH7347653.1	74.4	317	292	318	1.53e-160	1	291	1	317	40658	Ascomycota	Plectosphaerella	Plectosphaerella cucumerina
Pcub-MSU1_004_001127.1	KAH7347653.1	74.4	317	292	318	2.17e-160	1	291	1	317	40658	Ascomycota	Plectosphaerella	Plectosphaerella cucumerina
Pcub-MSU1_004_000033.1	KAH7347653.1	71.6	317	299	318	6.70e-152	1	298	1	317	40658	Ascomycota	Plectosphaerella	Plectosphaerella cucumerina
Pcub-MSU1_004_000034.1	KAH7347653.1	71.3	317	299	318	2.72e-151	1	298	1	317	40658	Ascomycota	Plectosphaerella	Plectosphaerella cucumerina
Pcub-MSU1_004_000035.1	KAH7347653.1	71.6	317	299	318	6.70e-152	1	298	1	317	40658	Ascomycota	Plectosphaerella	Plectosphaerella cucumerina
Pcub-MSU1_004_000036.1	KAH7347653.1	71.6	317	299	318	6.70e-152	1	298	1	317	40658	Ascomycota	Plectosphaerella	Plectosphaerella cucumerina
Pcub-MSU1_004_000037.1	KAH7347653.1	71.3	317	299	318	5.48e-151	1	298	1	317	40658	Ascomycota	Plectosphaerella	Plectosphaerella cucumerina
Pcub-MSU1_004_001126.1	XP_009538857.1	76.1	234	313	657	2.33e-115	67	289	1	234	67593	Oomycota	Phytophthora	Phytophthora sojae
Pcub-MSU1_004_001125.1	XP_009538855.1	65.1	1740	1705	1686	0.0	1	1705	1	1686	67593	Oomycota	Phytophthora	Phytophthora sojae
Pcub-MSU1_004_000038.1	KAG6618596.1	97.1	205	206	205	1.98e-130	1	205	1	205	4785	Oomycota	Phytophthora	Phytophthora cinnamomi
Pcub-MSU1_004_000039.1	POM58883.1	75.5	436	410	432	3.68e-210	1	410	1	432	4796	Oomycota	Phytophthora	Phytophthora palmivora
Pcub-MSU1_004_001124.1	KAG2790718.1	67.7	784	688	778	0.0	1	688	1	778	29920	Oomycota	Phytophthora	Phytophthora cactorum
Pcub-MSU1_004_000040.1	KAH7347653.1	83.3	210	255	318	2.80e-118	45	254	108	317	40658	Ascomycota	Plectosphaerella	Plectosphaerella cucumerina
Pcub-MSU1_004_000041.1	KAH7347653.1	78.2	317	313	318	4.04e-166	1	312	1	317	40658	Ascomycota	Plectosphaerella	Plectosphaerella cucumerina
Pcub-MSU1_004_000042.1	KAG6618455.1	65.7	239	328	885	1.29e-95	90	328	648	885	4785	Oomycota	Phytophthora	Phytophthora cinnamomi
Pcub-MSU1_004_000043.1	KAE9046264.1	82.1	664	742	956	0.0	89	741	295	955	129364	Oomycota	Phytophthora	Phytophthora rubi
Pcub-MSU1_004_001123.1	KAG1693699.1	86.4	521	523	522	0.0	2	522	1	521	4784	Oomycota	Phytophthora	Phytophthora capsici
Pcub-MSU1_004_000044.1	KAE8883448.1	51.0	339	329	356	8.50e-83	3	327	27	356	53985	Oomycota	Phytophthora	Phytophthora fragariae
Pcub-MSU1_004_001122.1	XP_009538863.1	63.0	584	513	579	3.66e-123	1	511	1	577	67593	Oomycota	Phytophthora	Phytophthora sojae
Pcub-MSU1_013_000114.1	KAG6612066.1	90.1	203	239	196	1.41e-125	37	239	1	196	4785	Oomycota	Phytophthora	Phytophthora cinnamomi
Pcub-MSU1_013_000478.1	KAG6960141.1	74.8	994	991	985	0.0	4	987	3	983	2496075	Oomycota	Phytophthora	Phytophthora aleatoria
Pcub-MSU1_013_000115.1	XP_008900051.1	79.4	378	359	389	5.42e-179	9	357	7	380	4792;761204;1317063;1317064;1317065;1317066	Oomycota	Phytophthora	Phytophthora nicotianae
Pcub-MSU1_013_000477.1	KAH7487671.1	84.8	361	361	363	1.42e-217	1	361	1	361	164328	Oomycota	Phytophthora	Phytophthora ramorum
Pcub-MSU1_013_000116.1	KAE8884357.1	92.1	266	267	267	6.76e-173	1	266	1	266	53985	Oomycota	Phytophthora	Phytophthora fragariae
Pcub-MSU1_013_000476.1	KAG6611989.1	87.4	484	484	484	7.37e-307	1	484	1	484	4785	Oomycota	Phytophthora	Phytophthora cinnamomi
Pcub-MSU1_013_000117.1	KAG6611989.1	87.4	484	484	484	7.37e-307	1	484	1	484	4785	Oomycota	Phytophthora	Phytophthora cinnamomi
Pcub-MSU1_013_000475.1	KAE8884357.1	92.1	266	267	267	6.76e-173	1	266	1	266	53985	Oomycota	Phytophthora	Phytophthora fragariae
Pcub-MSU1_013_000118.1	KAH7487671.1	85.0	361	361	363	4.97e-218	1	361	1	361	164328	Oomycota	Phytophthora	Phytophthora ramorum
Pcub-MSU1_013_000119.1	KAH7487672.1	85.3	191	307	193	4.08e-97	1	189	1	191	164328	Oomycota	Phytophthora	Phytophthora ramorum
Pcub-MSU1_013_000474.1	RMX66992.1	82.5	297	293	298	3.87e-154	1	292	1	297	542832	Oomycota	Peronospora	Peronospora effusa
Pcub-MSU1_013_000473.1	KAE8936502.1	60.8	74	76	174	1.29e-20	3	76	51	124	53985	Oomycota	Phytophthora	Phytophthora fragariae
