label	isolate	species	contig	region	win_start	win_end	protein_id	gene_start	gene_end	strand
MSU1_004_s1	MSU1	Pseudoperonospora_cubensis_MSU1	Pcub-MSU1_004	span	177773	184368	Pcub-MSU1_004_000028.1	177237	179894	+
MSU1_004_s1	MSU1	Pseudoperonospora_cubensis_MSU1	Pcub-MSU1_004	span	177773	184368	Pcub-MSU1_004_000029.1	180295	181462	+
MSU1_004_s1	MSU1	Pseudoperonospora_cubensis_MSU1	Pcub-MSU1_004	span	177773	184368	Pcub-MSU1_004_000030.1	181823	182972	+
MSU1_004_s1	MSU1	Pseudoperonospora_cubensis_MSU1	Pcub-MSU1_004	span	177773	184368	Pcub-MSU1_004_000031.1	183355	184526	+
MSU1_004_s1	MSU1	Pseudoperonospora_cubensis_MSU1	Pcub-MSU1_004	flank_upstream	171177	177772	Pcub-MSU1_004_000028.1	177237	179894	+
MSU1_004_s1	MSU1	Pseudoperonospora_cubensis_MSU1	Pcub-MSU1_004	flank_upstream	171177	177772	Pcub-MSU1_004_001132.1	169573	171526	-
MSU1_004_s1	MSU1	Pseudoperonospora_cubensis_MSU1	Pcub-MSU1_004	flank_downstream	184369	190964	Pcub-MSU1_004_000031.1	183355	184526	+
MSU1_004_s2	MSU1	Pseudoperonospora_cubensis_MSU1	Pcub-MSU1_004	span	239385	273394	Pcub-MSU1_004_000033.1	266092	267354	+
MSU1_004_s2	MSU1	Pseudoperonospora_cubensis_MSU1	Pcub-MSU1_004	span	239385	273394	Pcub-MSU1_004_000034.1	267655	268888	+
MSU1_004_s2	MSU1	Pseudoperonospora_cubensis_MSU1	Pcub-MSU1_004	span	239385	273394	Pcub-MSU1_004_000035.1	269205	270438	+
MSU1_004_s2	MSU1	Pseudoperonospora_cubensis_MSU1	Pcub-MSU1_004	span	239385	273394	Pcub-MSU1_004_000036.1	270742	271978	+
MSU1_004_s2	MSU1	Pseudoperonospora_cubensis_MSU1	Pcub-MSU1_004	span	239385	273394	Pcub-MSU1_004_000037.1	272272	273649	+
