label	junction	position	span_1kb	span_1kb_mq20	span_2kb	span_2kb_mq20	span_5kb	span_5kb_mq20	span_10kb	span_10kb_mq20	median_min_overhang_bp	max_min_overhang_bp	median_read_aln_len
MSU1_004_s1	left	177773	202	202	138	138	51	51	2	2	2724	13009	11760
MSU1_004_s1	right	184368	186	186	142	142	49	49	1	1	3197	10116	12116
MSU1_004_s2	left	239385	193	193	140	140	32	32	3	3	2774	11487	12113
MSU1_004_s2	right	273394	191	191	138	138	39	39	2	2	2904	10993	11809
MSU1_013_s1	left	1104526	160	160	113	113	35	35	1	1	3054	10202	11140
MSU1_013_s1	right	1156743	192	192	130	130	36	36	3	3	2724	11002	11302
SC1982_008_s1	left	1092633	43	43	15	15	3	3	0	0	1832	6743	5906
SC1982_008_s1	right	1100584	52	52	18	18	0	0	0	0	1736	4780	5588
OR502AA_015_s1	left	729948	223	223	180	180	67	67	5	5	3493	10934	13718
OR502AA_015_s1	right	761124	245	245	196	196	68	68	3	3	3340	10812	15230
OR502AA_022_s1	left	205298	236	236	172	172	62	62	1	1	3155	10494	13285
OR502AA_022_s1	right	215039	211	211	162	162	58	58	3	3	3145	10805	13500
