id	source	Description
Peff-26_001_000001.1	blastp	Homology to Peronospora effusa predicted protein RMX63636.1
Peff-26_001_001455.1	eggnog	Spt4/RpoE2 zinc finger
Peff-26_001_000002.1	eggnog	PHD-finger
Peff-26_001_001454.1	eggnog	domain-containing protein
Peff-26_001_001453.1	eggnog	domain-containing protein
Peff-26_001_000003.1	eggnog	Interferon-related developmental regulator (IFRD)
Peff-26_001_001452.1	eggnog	Zinc finger C-x8-C-x5-C-x3-H type (and similar)
Peff-26_001_001451.1	unannotated	Hypothetical protein of unknown function
Peff-26_001_001450.1	eggnog	WD40 repeats
Peff-26_001_001449.1	eggnog	WD40 repeats
Peff-26_001_000004.1	eggnog	Early transcription elongation factor of RNA pol II, NGN section
Peff-26_001_000005.1	eggnog	Lipase (class 3)
Peff-26_001_001448.1	eggnog	WD domain, G-beta repeat
Peff-26_001_001447.1	eggnog	adenyl-nucleotide exchange factor activity
Peff-26_001_001446.1	eggnog	Pex2 / Pex12 amino terminal region
Peff-26_001_001445.1	eggnog	Histone H3
Peff-26_001_000006.1	eggnog	protein heterodimerization activity
Peff-26_001_001444.1	eggnog	domain-containing protein
Peff-26_001_000007.1	eggnog	Mitosis protein DIM1
Peff-26_001_001443.1	eggnog	Domain of unknown function (DUF389)
Peff-26_001_001442.1	eggnog	protein heterodimerization activity
Peff-26_001_000008.1	eggnog	Histone H3
Peff-26_001_000009.1	eggnog	Pex2 / Pex12 amino terminal region
Peff-26_001_000010.1	eggnog	adenyl-nucleotide exchange factor activity
Peff-26_001_000011.1	eggnog	WD domain, G-beta repeat
Peff-26_001_001441.1	eggnog	Lipase (class 3)
Peff-26_001_000012.1	eggnog	Vps54-like protein
Peff-26_001_001440.1	eggnog	snRNP Sm proteins
Peff-26_001_000013.1	eggnog	Choline/Carnitine o-acyltransferase
Peff-26_001_000014.1	eggnog	Domain of unknown function (DUF3510)
Peff-26_001_000015.1	eggnog	Early transcription elongation factor of RNA pol II, NGN section
Peff-26_001_000016.1	unannotated	Hypothetical protein of unknown function
Peff-26_001_001439.1	eggnog	1-phosphatidylinositol-3-phosphate 5-kinase activity
Peff-26_001_001438.1	eggnog	domain-containing protein
Peff-26_001_000017.1	eggnog	Domain of unknown function (DUF814)
Peff-26_001_000018.1	eggnog	Neurochondrin
Peff-26_001_001437.1	eggnog	domain-containing protein
Peff-26_001_001436.1	unannotated	Hypothetical protein of unknown function
Peff-26_001_001435.1	eggnog	Sgf11 (transcriptional regulation protein)
Peff-26_001_000019.1	eggnog	Protein tyrosine kinase
