Pcub-SC1982_001	7845893
Pcub-SC1982_002	4835754
Pcub-SC1982_003	4551471
Pcub-SC1982_004	4443307
Pcub-SC1982_005	3705822
Pcub-SC1982_006	3395510
Pcub-SC1982_007	3318621
Pcub-SC1982_008	3273045
Pcub-SC1982_009	3070809
Pcub-SC1982_010	3062637
Pcub-SC1982_011	3006439
Pcub-SC1982_012	2965347
Pcub-SC1982_013	2934166
Pcub-SC1982_014	2770380
Pcub-SC1982_015	2764869
Pcub-SC1982_016	2737267
Pcub-SC1982_017	2533586
Pcub-SC1982_018	2149860
Pcub-SC1982_019	1916596
Pcub-SC1982_020	1805965
Pcub-SC1982_021	1717662
Pcub-SC1982_022	1642069
Pcub-SC1982_023	1608910
Pcub-SC1982_024	1206386
Pcub-SC1982_025	1168974
Pcub-SC1982_026	1052794
